SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 29, 2019	October 28, 2019	October 25, 2019	October 24, 2019	October 23, 2019
Chinese yuan		0.1029870000	0.1027640000	0.1027730000	0.1026790000
Euro		0.8060500000	0.8071430000	0.8081010000	0.8082550000
Japanese yen		0.0066846500	0.0066853500	0.0066861900	0.0067046700
U.K. pound		0.9328800000	0.9325720000	0.9361640000	0.9345830000
U.S. dollar		0.7270230000	0.7266980000	0.7261870000	0.7266520000
Algerian dinar		0.0060725000	0.0060748700	0.0060746100	0.0060777100
Australian dollar		0.4953930000	0.4954630000	0.4969300000	0.4972480000
Botswana pula		0.0671042000			
Brazilian real		0.1827330000	0.1811000000	0.1811710000	0.1784730000
Brunei dollar			0.5328480000	0.5331380000	0.5326190000
Canadian dollar			0.5562600000	0.5554010000	0.5552900000
Chilean peso		0.0010015900	0.0010045200	0.0010000500	0.0010005700
Colombian peso		0.0002141290	0.0002145090	0.0002130020	0.0002118330
Czech koruna			0.0315654000	0.0315692000	0.0315237000
Danish krone		0.1078940000	0.1080460000	0.1081730000	0.1081910000
Indian rupee			0.0102411000	0.0102375000	0.0102436000
Israeli New Shekel		0.2060140000	0.2053400000	0.2061270000	0.2053850000
Korean won		0.0006191650	0.0006205790	0.0006187160	0.0006203280
Kuwaiti dinar		2.3950700000		2.3935000000	2.3950300000
Malaysian ringgit			0.1735190000	0.1735630000	0.1732600000
Mauritian rupee		0.0200218000	0.0200198000	0.0200088000	0.0200247000
Mexican peso		0.0381553000	0.0380829000	0.0380446000	0.0379933000
New Zealand dollar			0.4635610000	0.4659940000	0.4657840000
Norwegian krone		0.0789436000	0.0792370000	0.0797193000	0.0794155000
Omani rial		1.8908300000	1.8899800000	1.8886500000	1.8898600000
Peruvian sol			0.2171840000	0.2169020000	0.2173000000
Philippine peso		0.0141822000	0.0142320000	0.0141889000	0.0142057000
Polish zloty		0.1886950000	0.1889880000	0.1888750000	0.1888730000
Qatari riyal		0.1997320000	0.1996420000	0.1995020000	0.1996300000
Russian ruble		0.0113829000	0.0113553000	0.0113715000	0.0113896000
Saudi Arabian riyal		0.1938730000	0.1937860000	0.1936500000	0.1937740000
Singapore dollar			0.5328480000	0.5331380000	0.5326190000
South African rand		0.0499719000	0.0497512000	0.0494944000	0.0495261000
Swedish krona		0.0751538000	0.0751427000	0.0758396000	0.0752672000
Swiss franc		0.7302360000	0.7328170000	0.7331890000	0.7336580000
Thai baht		0.0240672000	0.0240517000	0.0239824000	
Trinidadian dollar			0.1076030000	0.1075560000	0.1076550000
U.A.E. dirham		0.1979640000	0.1978760000	0.1977360000	0.1978630000
Uruguayan peso			0.0194107000	0.0194178000	0.0194427000

Currency units per SDR(3)

Currency	October 29, 2019	October 28, 2019	October 25, 2019	October 24, 2019	October 23, 2019
Chinese yuan		9.709960	9.731030	9.730180	9.739090
Euro		1.240620	1.238940	1.237470	1.237230
Japanese yen		149.596000	149.581000	149.562000	149.150000
U.K. pound		1.071950	1.072300	1.068190	1.070000
U.S. dollar		1.375470	1.376090	1.377060	1.376170
Algerian dinar		164.677000	164.613000	164.620000	164.536000
Australian dollar		2.018600	2.018310	2.012360	2.011070
Botswana pula		14.902200			
Brazilian real		5.472470	5.521810	5.519650	5.603090
Brunei dollar			1.876710	1.875690	1.877510
Canadian dollar			1.797720	1.800500	1.800860
Chilean peso		998.413000	995.500000	999.950000	999.430000
Colombian peso		4,670.080000	4,661.810000	4,694.790000	4,720.700000
Czech koruna			31.680300	31.676400	31.722200
Danish krone		9.268360	9.255320	9.244450	9.242910
Indian rupee			97.645800	97.680100	97.621900
Israeli New Shekel		4.854040	4.869970	4.851380	4.868900
Korean won		1,615.080000	1,611.400000	1,616.250000	1,612.050000
Kuwaiti dinar		0.417524		0.417798	0.417531
Malaysian ringgit			5.763060	5.761600	5.771670
Mauritian rupee		49.945600	49.950500	49.978000	49.938300
Mexican peso		26.208700	26.258500	26.284900	26.320400
New Zealand dollar			2.157210	2.145950	2.146920
Norwegian krone		12.667300	12.620400	12.544000	12.592000
Omani rial		0.528868	0.529106	0.529479	0.529140
Peruvian sol			4.604390	4.610380	4.601930
Philippine peso		70.510900	70.264200	70.477600	70.394300
Polish zloty		5.299560	5.291340	5.294510	5.294560
Qatari riyal		5.006710	5.008970	5.012480	5.009270
Russian ruble		87.851100	88.064600	87.939100	87.799400
Saudi Arabian riyal		5.158020	5.160330	5.163960	5.160650
Singapore dollar			1.876710	1.875690	1.877510
South African rand		20.011200	20.100000	20.204300	20.191400
Swedish krona		13.306000	13.308000	13.185700	13.286000
Swiss franc		1.369420	1.364600	1.363900	1.363030
Thai baht		41.550300	41.577100	41.697200	
Trinidadian dollar			9.293420	9.297480	9.288930
U.A.E. dirham		5.051420	5.053670	5.057250	5.054000
Uruguayan peso			51.518000	51.499100	51.433200


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
